ModelName,Threshold,Precision,Recall,f1,Confusion Matrix
BalancedData_50000_P91.pkl,0.0774,0.0533,1.0,0.1013,"[[64, 0], [1136, 3369]]"
BalancedData_50000_P92.pkl,0.0861,0.0591,1.0,0.1117,"[[64, 0], [1018, 3487]]"
BalancedData_50000_P93.pkl,0.0965,0.0663,1.0,0.1243,"[[64, 0], [902, 3603]]"
BalancedData_50000_P94.pkl,0.1113,0.077,1.0,0.143,"[[64, 0], [767, 3738]]"
BalancedData_50000_P95.pkl,0.1337,0.0907,1.0,0.1662,"[[64, 0], [642, 3863]]"
BalancedData_50000_P96.pkl,0.1698,0.1102,1.0,0.1984,"[[64, 0], [517, 3988]]"
BalancedData_50000_P97.pkl,0.2429,0.1441,1.0,0.252,"[[64, 0], [380, 4125]]"
BalancedData_100000_P91.pkl,0.1213,0.0976,1.0,0.1778,"[[64, 0], [592, 3913]]"
BalancedData_100000_P92.pkl,0.1354,0.1079,1.0,0.1948,"[[64, 0], [529, 3976]]"
BalancedData_100000_P93.pkl,0.1599,0.1217,1.0,0.2169,"[[64, 0], [462, 4043]]"
BalancedData_100000_P94.pkl,0.1949,0.1397,1.0,0.2452,"[[64, 0], [394, 4111]]"
BalancedData_100000_P95.pkl,0.2488,0.1584,1.0,0.2735,"[[64, 0], [340, 4165]]"
BalancedData_100000_P96.pkl,0.3372,0.1871,1.0,0.3153,"[[64, 0], [278, 4227]]"
BalancedData_100000_P97.pkl,0.4792,0.2246,1.0,0.3668,"[[64, 0], [221, 4284]]"
BalancedData_200000_P91.pkl,0.2612,0.1711,1.0,0.2922,"[[64, 0], [310, 4195]]"
BalancedData_200000_P92.pkl,0.3244,0.1916,1.0,0.3216,"[[64, 0], [270, 4235]]"
BalancedData_200000_P93.pkl,0.3967,0.2119,1.0,0.3497,"[[64, 0], [238, 4267]]"
BalancedData_200000_P94.pkl,0.4627,0.2278,1.0,0.371,"[[64, 0], [217, 4288]]"
BalancedData_200000_P95.pkl,0.5579,0.2634,1.0,0.4169,"[[64, 0], [179, 4326]]"
BalancedData_200000_P96.pkl,0.6479,0.2905,0.9531,0.4453,"[[61, 3], [149, 4356]]"
BalancedData_200000_P97.pkl,0.7572,0.341,0.9219,0.4979,"[[59, 5], [114, 4391]]"
BalancedData_500000_P91.pkl,0.6026,0.289,0.9844,0.4468,"[[63, 1], [155, 4350]]"
BalancedData_500000_P92.pkl,0.6613,0.3144,0.9531,0.4729,"[[61, 3], [133, 4372]]"
BalancedData_500000_P93.pkl,0.718,0.3315,0.9219,0.4876,"[[59, 5], [119, 4386]]"
BalancedData_500000_P94.pkl,0.7692,0.3515,0.9062,0.5066,"[[58, 6], [107, 4398]]"
BalancedData_500000_P95.pkl,0.8128,0.3819,0.8594,0.5288,"[[55, 9], [89, 4416]]"
BalancedData_500000_P96.pkl,0.8599,0.408,0.7969,0.5397,"[[51, 13], [74, 4431]]"
BalancedData_500000_P97.pkl,0.8952,0.4425,0.7812,0.565,"[[50, 14], [63, 4442]]"
BalancedData_1000000_P91.pkl,0.8177,0.3885,0.8438,0.532,"[[54, 10], [85, 4420]]"
BalancedData_1000000_P92.pkl,0.8441,0.4046,0.8281,0.5436,"[[53, 11], [78, 4427]]"
BalancedData_1000000_P93.pkl,0.8684,0.431,0.7812,0.5556,"[[50, 14], [66, 4439]]"
BalancedData_1000000_P94.pkl,0.8908,0.4537,0.7656,0.5698,"[[49, 15], [59, 4446]]"
BalancedData_1000000_P95.pkl,0.9134,0.4592,0.7031,0.5556,"[[45, 19], [53, 4452]]"
BalancedData_1000000_P96.pkl,0.9318,0.4943,0.6719,0.5695,"[[43, 21], [44, 4461]]"
BalancedData_1000000_P97.pkl,0.9471,0.5068,0.5781,0.5401,"[[37, 27], [36, 4469]]"
BalancedData_3000000_P91.pkl,0.9484,0.525,0.6562,0.5833,"[[42, 22], [38, 4467]]"
BalancedData_3000000_P92.pkl,0.9547,0.5405,0.625,0.5797,"[[40, 24], [34, 4471]]"
BalancedData_3000000_P93.pkl,0.9602,0.5493,0.6094,0.5778,"[[39, 25], [32, 4473]]"
BalancedData_3000000_P94.pkl,0.9654,0.5873,0.5781,0.5827,"[[37, 27], [26, 4479]]"
BalancedData_3000000_P95.pkl,0.9698,0.5738,0.5469,0.56,"[[35, 29], [26, 4479]]"
BalancedData_3000000_P96.pkl,0.974,0.569,0.5156,0.541,"[[33, 31], [25, 4480]]"
BalancedData_3000000_P97.pkl,0.9777,0.6,0.5156,0.5546,"[[33, 31], [22, 4483]]"
